,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.21280606587727866,0.00372698089300909,0.07110826174418132,0.0031018997270376206,balanced,0.4393970560760795,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.4393970560760795)}",0.7326308033056042,0.7111781818589771,0.7184999046861679,0.7207696299502496,0.008903837424162666,1
19,0.20771519343058267,0.028177247271651572,0.07539677619934082,0.008559593790088093,balanced,0.05179474679231213,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.05179474679231213)}",0.7306037469233981,0.7134036027118681,0.715009461778236,0.7196722704711673,0.007757472909159494,2
5,0.20463188489278158,0.013518120370894306,0.07393336296081543,0.013019164699934182,,0.4393970560760795,"{'clf__class_weight': None, 'clf__tol': np.float64(0.4393970560760795)}",0.7342807887024022,0.7131134938536251,0.7112681225910071,0.7195541350490116,0.01044053302101698,3
2,0.27434802055358887,0.05935580722408628,0.07020783424377441,0.006208740121490593,,0.0007196856730011522,"{'clf__class_weight': None, 'clf__tol': np.float64(0.0007196856730011522)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
1,0.4614568551381429,0.07617577846202186,0.12980310122172037,0.038934508122541775,,8.483428982440725e-05,"{'clf__class_weight': None, 'clf__tol': np.float64(8.483428982440725e-05)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
0,0.6592530409495035,0.07750480204203418,0.17220568656921387,0.02355875734313766,,1e-05,"{'clf__class_weight': None, 'clf__tol': np.float64(1e-05)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
16,0.26561641693115234,0.023615237399703885,0.07351469993591309,0.011294283421075831,balanced,8.483428982440725e-05,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(8.483428982440725e-05)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
15,0.22827649116516113,0.0348271707453264,0.061281840006510414,0.020647217417593275,balanced,1e-05,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(1e-05)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
17,0.2065283457438151,0.05194559417963488,0.04369537035624186,0.008516833759368316,balanced,0.0007196856730011522,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.0007196856730011522)}",0.7299902247678126,0.7125604560595432,0.7149931496893145,0.71918127683889,0.007707334864560341,4
4,0.1945463021596273,0.010568617448312527,0.06796129544576009,0.0010241140546823255,,0.05179474679231213,"{'clf__class_weight': None, 'clf__tol': np.float64(0.05179474679231213)}",0.7306345152751644,0.7118491323382532,0.7149931496893145,0.7191589324342441,0.00821534995927597,10
18,0.19129506746927896,0.026994197860590135,0.057469685872395836,0.006677915139432978,balanced,0.006105402296585327,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(0.006105402296585327)}",0.7299902247678126,0.7125604560595432,0.7142217514980976,0.7189241441084845,0.007854237985640085,11
3,0.24395291010538736,0.04567544136517265,0.07487551371256511,0.003064075989290952,,0.006105402296585327,"{'clf__class_weight': None, 'clf__tol': np.float64(0.006105402296585327)}",0.7299902247678126,0.7125604560595432,0.7142217514980976,0.7189241441084845,0.007854237985640085,11
28,0.11917344729105632,0.012800571367313348,0.054226954778035484,0.004658181210409785,balanced,11787686.347935867,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(11787686.347935867)}",0.6802984600977524,0.6483443042915239,0.6684306821791344,0.6656911488561369,0.013188272579405337,13
11,0.12619121869405112,0.01780026323084015,0.048425515492757164,0.009199193713132617,,163789.3706954068,"{'clf__class_weight': None, 'clf__tol': np.float64(163789.3706954068)}",0.6324517632527539,0.6716954738436719,0.63510513990869,0.6464174590017052,0.017907049406729575,14
9,0.14838854471842447,0.02301837283957782,0.06957968076070149,0.011263309352743457,,2275.845926074791,"{'clf__class_weight': None, 'clf__tol': np.float64(2275.845926074791)}",0.6332071207245783,0.6678515513802071,0.6234584547875947,0.6415057089641266,0.01904970133357185,15
6,0.13555304209391275,0.022583446664493353,0.05936662356058756,0.006122146784115363,,3.727593720314938,"{'clf__class_weight': None, 'clf__tol': np.float64(3.727593720314938)}",0.6305161223247671,0.6545494736294298,0.62419269393025,0.6364194299614824,0.013077214260343814,16
13,0.14337595303853354,0.020305089166389637,0.05490748087565104,0.0027849487045830085,,11787686.347935867,"{'clf__class_weight': None, 'clf__tol': np.float64(11787686.347935867)}",0.5957852358587721,0.6745193938343315,0.6252821168402035,0.6318622488444356,0.0324781004260299,17
7,0.13505117098490396,0.011471487193843926,0.05692903200785319,0.0019324026143356782,,31.622776601683793,"{'clf__class_weight': None, 'clf__tol': np.float64(31.622776601683793)}",0.5793677285887395,0.6284705952860362,0.6687867840350199,0.6255417026365985,0.03656387724098005,18
24,0.13348189989725748,0.037415318286659636,0.05494856834411621,0.007755292626857898,balanced,2275.845926074791,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(2275.845926074791)}",0.6609864299316012,0.6220726694394619,0.5854845868455066,0.6228478954055232,0.030828372308888363,19
21,0.1466859976450602,0.003426061400670714,0.0622414747873942,0.006826694011643777,balanced,3.727593720314938,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(3.727593720314938)}",0.6583738641119466,0.612835889217055,0.5892362445203262,0.620148665949776,0.02869506506185194,20
29,0.12704388300577799,0.0036933212508351598,0.05865724881490072,0.009395480075193044,balanced,100000000.0,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(100000000.0)}",0.6869789683754438,0.5544576280275975,0.6182400011274031,0.6198921991768148,0.0541142232116061,21
22,0.16287779808044434,0.0065574437980523495,0.06895073254903157,0.004554429173743886,balanced,31.622776601683793,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(31.622776601683793)}",0.654130420585456,0.6205041456647088,0.5751237837924553,0.6165861166808734,0.032373089417744416,22
25,0.14658276240030924,0.009370003846078018,0.056324402491251625,0.011181488961027377,balanced,19306.977288832535,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(19306.977288832535)}",0.6613035237671455,0.5721600297692431,0.588897973030981,0.6074538421891232,0.03868574966486658,23
26,0.10902770360310872,0.00453697745113975,0.05943131446838379,0.013549403329071022,balanced,163789.3706954068,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(163789.3706954068)}",0.6125760306103694,0.5941531962523937,0.6094005368714166,0.6053765879113931,0.008041323704051338,24
10,0.1461162567138672,0.023691595156042175,0.07323106129964192,0.010157783735334207,,19306.977288832535,"{'clf__class_weight': None, 'clf__tol': np.float64(19306.977288832535)}",0.6572564506167627,0.5625296507958122,0.5905239249243058,0.6034366754456268,0.039735341075663934,25
14,0.12037165959676106,0.02827828918194808,0.06216867764790853,0.009204731813625106,,100000000.0,"{'clf__class_weight': None, 'clf__tol': np.float64(100000000.0)}",0.6678827189866744,0.5110023630340671,0.6261236013505138,0.6016695611237518,0.06633933766885358,26
27,0.13260221481323242,0.006519535728988384,0.06605394681294759,0.008979780981554546,balanced,1389495.494373136,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(1389495.494373136)}",0.6557630086907809,0.6105742528810492,0.5326159640974762,0.5996510752231021,0.05086443096196427,27
12,0.0909408728281657,0.003139938075351893,0.04035290082295736,0.0026311522486810973,,1389495.494373136,"{'clf__class_weight': None, 'clf__tol': np.float64(1389495.494373136)}",0.5712930086381289,0.6327699430513897,0.5789906830743075,0.594351211587942,0.02734730630704148,28
23,0.13378588358561197,0.005825187695501122,0.05942368507385254,0.005167838291120659,balanced,268.2695795279727,"{'clf__class_weight': 'balanced', 'clf__tol': np.float64(268.2695795279727)}",0.5320425531056835,0.6024307703314556,0.6438432642791468,0.5927721959054287,0.046150592626605716,29
8,0.1417395273844401,0.0054418916616243845,0.06298144658406575,0.0036610129941941935,,268.2695795279727,"{'clf__class_weight': None, 'clf__tol': np.float64(268.2695795279727)}",0.6136698133669302,0.614818465278491,0.5202976787307824,0.5829286524587345,0.04428926884989228,30
